Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,Sprint.12,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Story,AWAMWRS-8149,2537679,UAT test for v3 change because of SCB upgrade,2537668.0,AWAMWRS-8145,[HK] 2026 SCB Banking System Upgrade,High,To Do,2.0,Dylan,6042517281a8400068f38991,57600.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,,0.0,,0.0,2.0,0.0
Story,AWAMWRS-8147,2537677,Develop in v3 for SCB upgrade,2537668.0,AWAMWRS-8145,[HK] 2026 SCB Banking System Upgrade,Critical,In progress,3.0,Dylan,6042517281a8400068f38991,86400.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,,0.0,,0.0,3.0,0.0
Enabler,AWAMWRS-8146,2537678,Prepare UAT Test Data for SCB upgrade,2537668.0,AWAMWRS-8145,[HK] 2026 SCB Banking System Upgrade,High,To Do,1.0,Dylan,6042517281a8400068f38991,28800.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Task,AWAMWRS-9264,3548126,[HK] Enhance WRE transaction-fee api to allow corporate account,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,Validating,5.0,Dylan,6042517281a8400068f38991,57600.0,57600.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,5.0,57600.0,57600.0,2.0,2.0,2.0,2.0
Task,AWAMWRS-9265,3548130,[HK] Enhance WRE VC api for corporate client,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,Validating,3.0,Dylan,6042517281a8400068f38991,46800.0,18000.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,3.0,46800.0,18000.0,1.625,0.625,1.625,0.625
Task,AWAMWRS-9315,3581514,[HK] Enquiry the source of date column in dividend note and transaction,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,Critical,Validating,2.0,Dylan,6042517281a8400068f38991,28800.0,46800.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,2.0,28800.0,46800.0,1.0,1.625,1.0,1.625
Task,AWAMWRS-9490,3701309,[HK] SCB upgrade impact analysis,2537668.0,AWAMWRS-8145,[HK] 2026 SCB Banking System Upgrade,Critical,Done,1.0,Dylan,6042517281a8400068f38991,0.0,28800.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,1.0,0.0,28800.0,0.0,1.0,0.0,1.0
Task,AWAMWRS-9414,3673856,[SG] Enhance ifund portfolio api for account total Pnl,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,Critical,Done,3.0,Dylan,6042517281a8400068f38991,0.0,86400.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,3.0,0.0,50400.0,0.0,1.75,0.0,3.0
Task,AWAMWRS-9365,3628104,[HK] Data-patch to correct invalid RPQ answer,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,To Do,1.0,Ehsan,62d07096a94a6f9c0eff0ed7,28800.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Task,AWAMWRS-9311,3574011,[HK] SOD job able to process corporate transaction,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,To Do,5.0,Ehsan,62d07096a94a6f9c0eff0ed7,144000.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Task,AWAMWRS-9219,3523626,"[HK] Data clean up for ID CTC received date, Address CTC received date, Self Cert Form Received date",1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,Validating,3.0,Ehsan,62d07096a94a6f9c0eff0ed7,7200.0,54000.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,3.0,7200.0,54000.0,0.25,1.875,0.25,1.875
Story,AWAMWRS-9366,3628108,[HK] Data-patch to insert missed answers for historic CQ or CQC,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,In progress,3.0,Ehsan,62d07096a94a6f9c0eff0ed7,5400.0,41400.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,5400.0,41400.0,0.1875,1.4375,0.1875,1.4375
Task,AWAMWRS-9406,3651392,[HK] Address CTC received date mismatch/missing,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,Validating,2.0,Ehsan,62d07096a94a6f9c0eff0ed7,1800.0,54000.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,2.0,1800.0,54000.0,0.0625,1.875,0.0625,1.875
Story,AWAMWRS-9493,3721141,[HK] 2026 Jan Wrap Fee collection,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,Critical,Done,2.0,Ehsan,62d07096a94a6f9c0eff0ed7,0.0,57600.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,0.0,14400.0,0.0,0.5,0.0,2.0
Task,AWAMWRS-9479,3689756,[HK] Problems for Automated Emails for KYC Reactivation 202602,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,High,In progress,5.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,57600.0,86400.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,5.0,57600.0,86400.0,2.0,3.0,2.0,3.0
Task,AWAMWRS-9171,3464416,[HK] Missing Status Change Notifications for Accounts After EEE Fund Termination Corporate Action,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,TBD,Validating,2.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,28800.0,57600.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,2.0,28800.0,57600.0,1.0,2.0,1.0,2.0
